iter	Logloss	Accuracy
0	0.4884780981	0.8379146192
1	0.4064660882	0.8457463145
2	0.3660492971	0.8458998771
3	0.3448357085	0.8495469902
4	0.3323448312	0.8506603194
5	0.3205480906	0.8528485872
6	0.3129112453	0.8566492629
7	0.3084760446	0.8578009828
8	0.3036399747	0.8601428133
9	0.3012060361	0.8607186732
10	0.299127884	0.8618320025
11	0.2970385684	0.863367629
12	0.2953657791	0.8636747543
13	0.2943025001	0.8641738329
14	0.2924654301	0.8650184275
15	0.2913985017	0.8655942875
16	0.2902132355	0.8659398034
17	0.2882689046	0.867590602
18	0.2872762944	0.86747543
19	0.2862523832	0.8681280713
20	0.2845669461	0.8699708231
21	0.2839865423	0.8710457617
22	0.2835179341	0.8708154177
23	0.2833622243	0.8708538084
24	0.2820466296	0.8725046069
25	0.2816515516	0.8731188575
26	0.2808796613	0.8737331081
27	0.2802847449	0.8740786241
28	0.2798216135	0.8738866708
29	0.2794207403	0.8734259828
30	0.2783093027	0.8745009214
31	0.2764970774	0.8756526413
32	0.2762960353	0.8756526413
33	0.2754726342	0.8764972359
34	0.2745759767	0.8764972359
35	0.2742746556	0.8766891892
36	0.2728404235	0.8774570025
37	0.272433673	0.8775337838
38	0.2723005057	0.8774953931
39	0.2720753685	0.8777257371
40	0.2718684142	0.8780328624
41	0.2717262203	0.8783015971
42	0.2714873925	0.8781096437
43	0.2713801071	0.8781096437
44	0.2713786507	0.8781096437
45	0.2713766332	0.8780712531
46	0.2710552093	0.878531941
47	0.2710452355	0.8786087224
48	0.2710351772	0.878531941
49	0.2710282388	0.878647113
