iter	Passed	Remaining
0	69	3424
1	128	3080
2	190	2976
3	267	3074
4	316	2844
5	400	2936
6	466	2866
7	513	2695
8	562	2564
9	610	2440
10	659	2338
11	712	2257
12	766	2181
13	866	2228
14	967	2257
15	1192	2534
16	1334	2591
17	1477	2627
18	1648	2689
19	1734	2601
20	1810	2499
21	1885	2400
22	1952	2292
23	2016	2184
24	2082	2082
25	2143	1978
26	2219	1890
27	2287	1797
28	2345	1698
29	2399	1599
30	2458	1506
31	2534	1425
32	2594	1336
33	2647	1245
34	2697	1156
35	2750	1069
36	2807	986
37	2881	909
38	2953	832
39	3011	752
40	3057	671
41	3108	592
42	3156	513
43	3215	438
44	3270	363
45	3322	288
46	3370	215
47	3422	142
48	3478	70
49	3536	0
